8.51,-6.00,-1.34,-0.06,-0.01,-0.06
8.49,-6.03,-1.30,-0.07,0.00,-0.06
8.47,-6.04,-1.29,-0.07,0.01,-0.07
8.43,-6.03,-1.32,-0.08,-0.00,-0.07
8.43,-6.02,-1.26,-0.08,-0.02,-0.06
8.43,-6.03,-1.25,-0.07,-0.02,-0.06
8.41,-6.03,-1.20,-0.07,-0.02,-0.06
8.39,-6.02,-1.21,-0.06,-0.03,-0.06
8.35,-6.04,-1.20,-0.04,-0.03,-0.06
8.37,-6.05,-1.29,-0.03,-0.04,-0.05
8.41,-6.06,-1.35,-0.03,-0.04,-0.05
8.43,-6.09,-1.36,-0.05,-0.03,-0.04
8.49,-6.10,-1.37,-0.07,-0.01,-0.04
8.47,-6.08,-1.36,-0.09,0.01,-0.04
8.48,-6.03,-1.34,-0.11,0.02,-0.04
8.46,-6.01,-1.31,-0.11,0.01,-0.05
8.47,-6.00,-1.27,-0.11,0.01,-0.04
8.48,-6.00,-1.21,-0.10,0.00,-0.04
8.50,-6.06,-1.19,-0.09,-0.02,-0.03
8.49,-5.99,-1.18,-0.06,-0.03,-0.03
8.53,-5.98,-1.19,-0.04,-0.05,-0.03
8.55,-5.92,-1.23,-0.03,-0.05,-0.03
8.59,-5.95,-1.26,-0.05,-0.03,-0.05
8.54,-5.96,-1.25,-0.08,-0.00,-0.06
8.56,-6.01,-1.22,-0.09,0.01,-0.06
8.54,-6.05,-1.20,-0.10,0.00,-0.05
8.53,-6.04,-1.19,-0.09,-0.00,-0.05
8.54,-6.03,-1.19,-0.07,-0.01,-0.06
8.55,-6.02,-1.18,-0.06,-0.02,-0.06
8.51,-6.00,-1.20,-0.05,-0.02,-0.06
8.49,-6.00,-1.22,-0.04,-0.04,-0.05
8.48,-5.99,-1.29,-0.06,-0.03,-0.05
8.48,-5.99,-1.21,-0.08,-0.02,-0.05
8.47,-6.00,-1.21,-0.09,0.01,-0.05
8.49,-6.00,-1.14,-0.10,0.03,-0.05
8.45,-6.00,-1.09,-0.09,0.03,-0.05
8.49,-6.00,-1.11,-0.07,0.02,-0.04
8.50,-6.00,-1.15,-0.04,0.01,-0.04
8.55,-6.01,-1.19,-0.03,0.01,-0.04
8.54,-5.99,-1.21,-0.03,-0.01,-0.04
8.58,-5.99,-1.26,-0.03,-0.02,-0.04
8.60,-6.03,-1.28,-0.05,-0.01,-0.05
8.59,-6.03,-1.28,-0.07,0.01,-0.06
8.54,-6.00,-1.29,-0.09,0.02,-0.06
8.48,-5.97,-1.25,-0.09,0.02,-0.06
8.47,-5.96,-1.17,-0.09,0.02,-0.06
8.47,-5.97,-1.14,-0.08,0.01,-0.05
8.47,-5.97,-1.17,-0.07,0.02,-0.06
8.45,-6.00,-1.13,-0.07,0.01,-0.06
8.43,-6.00,-1.19,-0.05,0.00,-0.05
8.39,-6.04,-1.24,-0.03,-0.01,-0.04
8.43,-5.99,-1.30,-0.03,-0.02,-0.02
8.45,-6.02,-1.32,-0.04,-0.02,-0.02
8.48,-6.01,-1.36,-0.08,0.00,-0.02
8.47,-6.06,-1.31,-0.12,0.03,-0.01
8.44,-6.08,-1.31,-0.16,0.05,0.00
8.39,-6.09,-1.23,-0.18,0.07,0.02
8.38,-6.05,-1.26,-0.19,0.08,0.05
8.43,-5.99,-1.33,-0.20,0.11,0.11
8.66,-5.87,-1.49,-0.25,0.15,0.16
8.82,-5.64,-1.72,-0.32,0.21,0.21
9.10,-5.37,-1.99,-0.43,0.29,0.22
9.27,-5.04,-2.08,-0.57,0.36,0.21
9.47,-4.73,-2.16,-0.71,0.43,0.20
9.75,-4.42,-2.30,-0.81,0.48,0.18
10.02,-4.10,-2.62,-0.90,0.58,0.14
10.10,-3.88,-2.94,-1.00,0.65,0.09
9.96,-3.66,-3.13,-1.14,0.70,0.04
9.85,-3.49,-3.34,-1.27,0.76,0.00
9.99,-3.26,-3.60,-1.43,0.86,-0.00
10.47,-2.99,-3.81,-1.62,0.95,-0.00
10.98,-2.87,-3.87,-1.76,1.01,-0.07
11.31,-2.84,-3.87,-1.87,1.06,-0.22
11.43,-2.89,-3.82,-1.94,1.10,-0.35
11.48,-2.96,-3.83,-1.99,1.15,-0.43
11.59,-3.10,-3.91,-2.00,1.21,-0.49
11.79,-3.17,-4.07,-1.99,1.21,-0.52
12.12,-3.17,-4.27,-1.94,1.20,-0.57
12.59,-3.19,-4.54,-1.87,1.14,-0.64
13.01,-3.35,-4.80,-1.77,1.06,-0.73
13.24,-3.45,-5.09,-1.71,0.95,-0.86
13.26,-3.57,-5.44,-1.68,0.83,-1.03
13.14,-3.70,-5.63,-1.71,0.75,-1.19
12.90,-3.91,-5.65,-1.76,0.70,-1.33
12.56,-4.17,-5.43,-1.81,0.67,-1.47
12.20,-4.37,-5.30,-1.82,0.66,-1.56
11.93,-4.49,-5.31,-1.81,0.67,-1.60
11.62,-4.49,-5.35,-1.81,0.69,-1.63
11.30,-4.49,-5.35,-1.84,0.72,-1.65
10.94,-4.48,-5.26,-1.87,0.75,-1.65
10.77,-4.29,-5.07,-1.91,0.77,-1.64
10.71,-4.16,-4.65,-1.96,0.82,-1.61
