6.52,5.85,3.33,0.03,-0.09,-0.04
6.52,5.92,3.36,0.04,-0.12,-0.04
6.57,5.94,3.42,0.06,-0.14,-0.05
6.63,5.92,3.46,0.09,-0.13,-0.04
6.64,5.90,3.51,0.11,-0.12,-0.04
6.65,5.89,3.49,0.13,-0.12,-0.04
6.61,5.89,3.56,0.14,-0.14,-0.03
6.56,5.86,3.57,0.13,-0.17,-0.03
6.53,5.85,3.61,0.12,-0.21,-0.03
6.51,5.85,3.68,0.10,-0.25,-0.03
6.44,5.86,3.73,0.08,-0.28,-0.04
6.56,5.92,3.80,0.08,-0.28,-0.05
6.55,5.87,3.76,0.09,-0.27,-0.04
6.62,5.88,3.78,0.10,-0.25,-0.02
6.64,5.91,3.69,0.13,-0.23,0.00
6.70,5.95,3.68,0.15,-0.22,0.03
6.76,5.97,3.63,0.10,-0.21,0.07
6.79,6.05,3.53,0.18,-0.18,0.08
6.78,6.12,3.46,0.21,-0.16,0.09
6.78,6.14,3.42,0.20,-0.14,0.12
6.84,6.28,3.35,0.22,-0.15,0.11
6.81,6.41,3.26,0.24,-0.18,0.10
6.84,6.50,3.23,0.24,-0.20,0.06
6.87,6.52,3.25,0.25,-0.20,-0.00
7.03,6.44,3.31,0.26,-0.20,-0.07
7.13,6.36,3.40,0.25,-0.17,-0.10
7.17,6.28,3.37,0.22,-0.14,-0.12
7.27,6.25,3.30,0.18,-0.10,-0.12
7.29,6.24,3.20,0.16,-0.08,-0.11
7.29,6.33,3.10,0.14,-0.07,-0.09
7.28,6.42,2.96,0.13,-0.07,-0.09
7.26,6.40,2.86,0.13,-0.07,-0.10
7.18,6.35,2.82,0.14,-0.07,-0.11
7.20,6.15,2.79,0.15,-0.08,-0.13
7.21,6.00,2.80,0.16,-0.10,-0.12
7.15,5.86,2.80,0.15,-0.14,-0.10
7.14,5.78,2.78,0.15,-0.17,-0.07
7.16,5.80,2.77,0.13,-0.19,-0.03
7.17,5.86,2.76,0.11,-0.22,0.00
7.21,5.94,2.74,0.10,-0.24,0.04
7.27,6.02,2.76,0.09,-0.25,0.07
7.33,6.04,2.76,0.09,-0.26,0.10
7.37,6.10,2.83,0.09,-0.26,0.13
7.35,6.17,2.83,0.07,-0.26,0.17
7.36,6.31,2.81,0.05,-0.25,0.20
7.36,6.37,2.80,0.03,-0.24,0.20
7.36,6.42,2.82,0.01,-0.22,0.20
7.37,6.43,2.84,-0.02,-0.21,0.18
7.39,6.40,2.83,-0.06,-0.20,0.17
7.31,6.35,2.76,-0.11,-0.21,0.17
7.24,6.31,2.72,-0.17,-0.24,0.18
7.15,6.30,2.73,-0.22,-0.26,0.19
7.07,6.32,2.78,-0.27,-0.28,0.20
7.00,6.27,2.75,-0.32,-0.29,0.21
6.89,6.27,2.71,-0.37,-0.31,0.23
6.76,6.34,2.67,-0.41,-0.33,0.26
6.68,6.44,2.63,-0.44,-0.35,0.27
6.60,6.51,2.60,-0.47,-0.38,0.28
6.57,6.63,2.59,-0.50,-0.39,0.29
6.56,6.71,2.52,-0.52,-0.39,0.29
6.52,6.83,2.41,-0.54,-0.37,0.29
6.51,6.93,2.34,-0.54,-0.37,0.29
6.45,6.96,2.19,-0.55,-0.38,0.28
6.41,7.02,2.09,-0.55,-0.40,0.26
6.39,7.02,2.01,-0.56,-0.44,0.24
6.36,7.01,1.95,-0.56,-0.49,0.22
6.35,6.94,1.90,-0.58,-0.54,0.20
6.37,6.93,1.92,-0.60,-0.59,0.20
6.35,6.92,1.92,-0.63,-0.64,0.20
6.34,6.89,1.99,-0.68,-0.69,0.20
6.22,6.93,2.07,-0.76,-0.74,0.20
6.18,6.88,2.07,-0.85,-0.81,0.17
6.11,6.84,2.05,-0.95,-0.89,0.17
6.04,6.93,2.06,-1.06,-1.02,0.19
5.91,7.06,2.05,-1.15,-1.16,0.20
5.95,7.43,2.14,-1.24,-1.25,0.18
6.33,7.93,2.37,-1.32,-1.26,0.14
6.98,8.53,2.54,-1.34,-1.16,0.09
7.52,9.13,2.77,-1.31,-1.03,0.06
7.80,9.73,3.02,-1.25,-0.95,0.02
8.69,11.11,3.45,-1.17,-0.95,-0.01
7.22,9.94,3.11,-1.13,-0.92,-0.08
6.80,10.09,3.08,-1.19,-0.78,-0.36
5.95,9.92,2.79,-1.16,-0.66,-0.61
5.21,9.73,2.48,-1.13,-0.57,-0.87
4.65,9.48,2.32,-1.07,-0.50,-1.19
4.61,9.39,2.25,-0.99,-0.43,-1.55
5.20,9.24,2.41,-0.89,-0.30,-1.95
6.15,9.04,2.57,-0.80,-0.14,-2.23
7.24,8.99,2.79,-0.72,0.03,-2.40
8.38,9.07,3.00,-0.65,0.19,-2.50
9.27,9.17,3.17,-0.50,0.36,-2.42
9.93,9.19,3.28,-0.55,0.49,-2.47
10.12,9.08,3.21,-0.53,0.63,-2.44
10.06,8.85,2.94,-0.50,0.76,-2.37
9.72,8.55,2.52,-0.48,0.89,-2.29
9.35,8.26,2.11,-0.42,1.00,-2.21
9.04,8.05,1.73,-0.35,1.07,-2.14
8.81,7.91,1.52,-0.27,1.07,-2.08
8.66,7.80,1.40,-0.21,1.04,-2.02
8.59,7.75,1.37,-0.19,0.97,-1.99
8.55,7.66,1.36,-0.19,0.89,-1.95
8.44,7.54,1.35,-0.21,0.83,-1.93
8.31,7.36,1.37,-0.24,0.78,-1.90
8.16,7.15,1.31,-0.25,0.75,-1.85
8.06,7.00,1.27,-0.23,0.75,-1.78
7.90,6.85,1.13,-0.19,0.78,-1.69
7.75,6.76,1.03,-0.11,0.82,-1.60
7.69,6.69,0.97,-0.02,0.85,-1.50
7.59,6.56,0.89,0.04,0.89,-1.41
7.45,6.30,0.69,0.09,0.90,-1.33
7.30,6.13,0.54,0.15,0.85,-1.21
6.94,5.95,0.57,0.22,0.74,-1.08
6.69,5.85,0.83,0.29,0.62,-0.94
6.39,5.86,1.16,0.28,0.50,-0.81
6.15,5.88,1.42,0.22,0.45,-0.71
5.94,5.85,1.40,0.15,0.45,-0.64
5.77,5.74,1.22,0.08,0.45,-0.56
5.60,5.67,1.05,0.04,0.38,-0.46
5.44,5.68,0.94,0.02,0.26,-0.34
5.32,5.76,1.01,0.02,0.14,-0.22
5.22,5.81,1.20,0.03,0.04,-0.11
5.14,5.84,1.45,0.03,-0.01,-0.01
5.15,5.83,1.63,0.02,-0.02,0.08
5.20,5.81,1.72,0.00,-0.01,0.19
5.24,5.83,1.70,-0.02,0.00,0.30
5.42,5.87,1.77,-0.03,-0.00,0.42
5.72,5.96,1.88,-0.04,-0.02,0.55
6.14,6.12,1.94,-0.06,-0.02,0.69
6.53,6.40,1.96,-0.07,-0.03,0.85
7.26,6.83,2.04,-0.07,-0.04,1.00
8.24,7.34,2.10,-0.07,-0.04,1.17
9.09,7.76,2.16,-0.03,-0.03,1.35
9.78,8.08,2.21,0.02,-0.01,1.55
10.11,8.26,2.25,0.06,-0.03,1.75
10.27,8.44,2.37,0.08,-0.06,1.95
9.86,8.61,2.54,0.06,-0.09,2.12
8.83,8.61,2.63,0.01,-0.15,2.23
7.50,8.43,2.60,-0.05,-0.25,2.28
